# Data from Zhou_reg_bas_hydro_cost_supply_curve,,,,,,,,
reg_nm,reg_id,bsn_nm,basin_glu,basin_id,year.fillout,maxSubResource,mid.price,curve.exponent
Russia,23,Black_Sea_North_Coast,BlackSeaN,47,1975,0.04907,0.36048,1.381
Russia,23,Caspian_Sea_Coast,CaspianNE,45,1975,0.03692,0.02116,2.272
Russia,23,Don,DonR,53,1975,0.11153,0.02215,3.047
Russia,23,Lena,LenaR,6,1975,1.76835,0.93565,1.659
Russia,23,Neva,NevaR,17,1975,0.01089,0.39704,1
Russia,23,Northern_Dvina,DvinaRN,14,1975,0.01073,1.01614,1.606
Russia,23,Ob,ObR,56,1975,0.20394,0.46572,1.072
Russia,23,Russia_Barents_Sea_Coast,BarentsSea,9,1975,0.01648,0.67444,5.666
Russia,23,Russia_South_East_Coast,RusCstSE,37,1975,0.0207,1.23854,5.349
Russia,23,Scandinavia_North_Coast,ScndnvN,8,1975,0.035754705,1.08125,2.723
Russia,23,Siberia_North_Coast,SiberiaN,3,1975,0.32613,0.8403,1.464
Russia,23,Siberia_West_Coast,SiberiaW,4,1975,1.24618,2.26089,2.806
Russia,23,Ural,UralR,38,1975,0.01115,0.06313,1
Russia,23,Volga,VolgaR,18,1975,0.73146,0.02441,1
Russia,23,Yenisei,YeniseiR,48,1975,2.23005,0.59766,1.467
South Africa,24,Limpopo,LimpopoR,199,1975,0.02496,0.19845,1
South Africa,24,Orange,OrangeR,194,1975,0.17337,0.75256,2.215
South Africa,24,South_Africa_South_Coast,AfrCstS,198,1975,0.10816,1.36473,2.148
South Africa,24,South_Africa_West_Coast,AfrCstSSW,204,1975,0.01554,0.03091,13.411
South America_Northern,25,Caribbean_Coast,SAmerCstN,143,1975,0.01912,0.07005,1
South America_Northern,25,Northeast_South_America_South_Atlantic_Coast,SAmerCstNE,161,1975,0.14214,0.30173,1
South America_Northern,25,Orinoco,OrinocoR,156,1975,0.79327,0.03199,2.711
South America_Southern,26,Amazon,AmazonR,168,1975,0.57117,1.29028,3.531
South America_Southern,26,Colombia_Ecuador_Pacific_Coast,ColEcuaCst,157,1975,0.09066,1.59395,4.005
